a#000854,a159597,a00158332
a#000855,a159672,a00158407
a#000856,a159811,a00158546
a#000857,a159966,a00158701
a#000858,a160129,a00158864
a#000859,a160226,a00158961
a#000860,a160371,a00159106
a#000861,a160532,a00159267
a#000862,a160646,a00159381
a#000863,a160763,a00159498
a#000864,a161000,a00159735
a#000865,a161240,a00159975
a#000866,a161409,a00160144
a#000867,a161553,a00160288
a#000868,a161690,a00160425
a#000869,a161838,a00160573
a#000870,a162033,a00160768
a#000871,a162222,a00160957
a#000872,a162330,a00161065
a#000873,a162435,a00161170
a#000874,a162541,a00161276
a#000875,a162696,a00161431
a#000876,a162949,a00161684
a#000877,a163143,a00161878
a#000878,a163258,a00161993
a#000879,a163348,a00162083
a#000880,a163513,a00162248
a#000881,a163651,a00162386
a#000882,a163926,a00162661
a#000883,a164128,a00162863
a#000884,a164255,a00162990
a#000885,a164580,a00163315
a#000886,a164745,a00163480
a#000887,a164857,a00163592
a#000888,a165213,a00163948
a#000889,a165570,a00164308
a#000890,a165724,a00164462
a#000891,a165860,a00164598
a#000892,a165943,a00164681
a#000893,a166125,a00164863
a#000894,a166433,a00165171
a#000895,a166720,a00165458
a#000896,a166847,a00165585
a#000897,a167028,a00165766
a#000898,a167205,a00165943
a#000899,a167408,a00166146
a#000900,a168015,a00166753
a#000901,a168339,a00167077
a#000902,a168540,a00167278
a#000903,a168782,a00167520
a#000904,a168933,a00167671
a#000905,a169091,a00167829
a#000906,a169301,a00168039
a#000907,a169450,a00168188
a#000908,a169813,a00168551
a#000909,a169956,a00168694
a#000910,a170082,a00168820
a#000911,a170172,a00168910
a#000912,a170318,a00169056
a#000913,a170426,a00169164
a#000914,a170694,a00169432
a#000915,a170954,a00169692
a#000916,a171088,a00169826
a#000917,a171217,a00169955
a#000918,a171417,a00170156
a#000919,a171619,a00170358
a#000920,a171978,a00170717
a#000921,a172108,a00170847
a#000922,a172305,a00171044
a#000923,a172553,a00171292
a#000924,a172708,a00171447
a#000925,a172851,a00171590
a#000926,a173133,a00171872
a#000927,a173433,a00172172
a#000928,a173569,a00172308
a#000929,a173713,a00172452
a#000930,a173823,a00172562
a#000931,a174035,a00172774
a#000932,a174254,a00172993
a#000933,a174481,a00173220
a#000934,a174652,a00173391
a#000935,a174955,a00173694
a#000936,a175025,a00173764
a#000937,a175317,a00174056
a#000938,a175411,a00174150
a#000939,a175504,a00174243
a#000940,a175640,a00174379
a#000941,a175980,a00174719
a#000942,a176140,a00174879
a#000943,a176244,a00174983
a#000944,a176384,a00175123
a#000945,a176561,a00175300
a#000946,a176696,a00175435
a#000947,a176789,a00175528
a#000948,a176980,a00175719
a#000949,a177148,a00175887
a#000950,a177411,a00176150
a#000951,a177648,a00176387
